No,channel_1,,channel_2,,channel_3,,channel_4,,channel_5,,channel_6,,channel_7,,channel_8,,channel_9,,channel_10,,output,label
27,36.297035,36.296,36.296,36.636402,36.636448,36.636448,36.645992,36.645897,36.645897,36.659595,35.000004,35.000004,35.000004,35.527283,35.52733,35.52733,35.76773,35.767727,35.767727,35.94548,37.806507,37.6
28,36.121605,36.121044,36.121044,36.411686,36.41166,36.41166,36.434315,36.434227,36.434227,36.450886,35.000004,35.0,35.0,35.421368,35.421387,35.421387,35.618,35.618,35.618,35.76536,37.782314,37.4
29,28.670635,28.665476,28.665476,31.246075,31.246454,31.246454,31.740864,31.74088,31.74088,32.250286,20.000015,20.000013,20.000013,23.476816,23.477137,23.477137,25.113293,25.113333,25.113333,26.398916,37.60408,38.0
30,31.296747,31.292974,31.292974,33.216007,33.21629,33.21629,33.542656,33.542774,33.542774,33.89247,25.000011,25.00001,25.00001,27.566921,27.567242,27.567242,28.756227,28.756397,28.756397,29.681116,37.669624,38.0
31,22.813328,22.806967,22.806967,26.235409,26.236055,26.236055,27.073063,27.07303,27.07303,27.916342,10.000022,10.000019,10.000019,14.772397,14.772781,14.772781,17.1444,17.144667,17.144667,19.030182,37.32524,37.2
32,21.412748,21.39782,21.39782,26.344194,26.344957,26.344957,27.439583,27.439423,27.439423,28.51286,5.0000343,5.000031,5.000031,12.00108,12.001854,12.001854,15.345472,15.346602,15.346602,17.82865,37.53049,37.6
33,19.703684,19.692984,19.692984,24.166067,24.166418,24.166418,24.743263,24.743183,24.743183,25.113886,5.0000267,5.000024,5.000024,11.109801,11.110083,11.110083,13.878006,13.878294,13.878294,15.764595,37.30636,37.4
34,38.991905,38.992428,38.992428,38.69986,38.69988,38.69988,38.670856,38.670925,38.670925,38.63239,40.0,40.0,40.0,39.597122,39.59709,39.59709,39.41085,39.410843,39.410843,39.264336,37.927338,38.0
35,19.474575,19.466032,19.466032,23.679,23.679335,23.679335,24.269339,24.26927,24.26927,24.673542,5.0000253,5.000023,5.000023,10.6936035,10.693855,10.693855,13.332624,13.3328905,13.3328905,15.254006,37.25441,38.0
36,36.169704,36.168884,36.168884,36.485977,36.485985,36.485985,36.500904,36.5008,36.5008,36.514267,35.000004,35.0,35.0,35.467373,35.4674,35.4674,35.68129,35.681286,35.681286,35.839737,37.79047,37.4
37,23.091326,23.083605,23.083605,26.908625,26.913342,26.913342,27.727278,27.728695,27.728695,28.544239,10.000023,10.000021,10.000021,15.13278,15.101695,15.101695,17.633501,17.615685,17.615685,19.592522,37.394672,37.4
38,36.195812,36.194817,36.194817,36.553635,36.55365,36.55365,36.56576,36.56564,36.56564,36.57846,35.000004,35.000004,35.000004,35.51211,35.512142,35.512142,35.73937,35.73937,35.73937,35.905186,37.797916,37.4
39,18.661484,18.64656,18.64656,23.958107,23.958553,23.958553,25.304169,25.304003,25.304003,26.599022,4.28e-05,3.86e-05,3.86e-05,7.6270494,7.6272683,7.6272683,11.288792,11.288572,11.288572,14.137865,37.4821,37.6
40,21.008753,20.994974,20.994974,25.972654,25.972912,25.972912,26.97853,26.97854,26.97854,27.971716,5.0000343,5.000031,5.000031,11.818049,11.818647,11.818647,15.033977,15.034503,15.034503,17.407906,37.49203,37.2
41,38.414112,38.415375,38.415375,37.994183,37.99313,37.99313,37.93755,37.937668,37.937668,37.84003,39.999996,39.999996,39.999996,39.352127,39.35207,39.35207,39.033833,39.033787,39.033787,38.775505,37.850403,37.0
42,19.707577,19.697664,19.697664,24.463436,24.453056,24.453056,25.07062,25.06766,25.06766,25.468023,5.0000277,5.000025,5.000025,11.184992,11.15125,11.15125,13.95955,13.944514,13.944514,15.844309,37.333935,38.0
43,25.565258,25.557583,25.557583,28.71932,28.70671,28.70671,29.118938,29.113148,29.113148,29.390518,15.000019,15.000017,15.000017,19.37555,19.343222,19.343222,21.365725,21.355553,21.355553,22.805607,37.478275,38.0
44,38.891167,38.891727,38.891727,38.605675,38.605675,38.605675,38.56843,38.568485,38.568485,38.517853,39.999996,40.0,40.0,39.5772,39.577156,39.577156,39.37519,39.37519,39.37519,39.21279,37.91739,37.8
45,36.27323,36.27257,36.27257,36.65008,36.6501,36.6501,36.696697,36.696648,36.696648,36.755672,35.000004,35.000004,35.000004,35.50524,35.50533,35.50533,35.73967,35.73967,35.73967,35.924778,37.80874,37.6
46,38.858063,38.858883,38.858883,38.534412,38.534386,38.534386,38.496624,38.4967,38.4967,38.44146,39.999996,40.0,40.0,39.528156,39.5281,39.5281,39.306385,39.30638,39.30638,39.12915,37.90927,37.8
47,31.278593,31.274405,31.274405,33.203545,33.203777,33.203777,33.53928,33.539387,33.539387,33.89956,25.000011,25.00001,25.00001,27.61216,27.61248,27.61248,28.819616,28.81979,28.81979,29.758791,37.66882,37.8
48,23.539013,23.529942,23.529942,27.805359,27.80609,27.80609,28.601778,28.60181,28.60181,29.403982,10.000025,10.000022,10.000022,15.618439,15.618854,15.618854,18.25172,18.252048,18.252048,20.27974,37.476997,38.0
49,26.0354,26.029123,26.029123,28.980146,28.980463,28.980463,29.720928,29.72087,29.72087,30.464874,15.000019,15.000017,15.000017,19.193624,19.193998,19.193998,21.280998,21.281076,21.281076,22.944431,37.501534,38.0
50,25.906654,25.898624,25.898624,29.422918,29.423223,29.423223,30.053745,30.053724,30.053724,30.686462,15.00002,15.000018,15.000018,19.670858,19.671272,19.671272,21.833761,21.833878,21.833878,23.49293,37.551258,37.2
51,23.75157,23.740154,23.740154,27.842926,27.843143,27.843143,28.795305,28.795273,28.795273,29.735624,10.000025,10.000022,10.000022,15.8122015,15.812768,15.812768,18.63323,18.633707,18.633707,20.833408,37.49026,37.4
52,21.881872,21.875744,21.875744,25.2743,25.274462,25.274462,25.761513,25.761467,25.761467,26.093071,10.000021,10.000019,10.000019,14.566082,14.566392,14.566392,16.703114,16.7032,16.7032,18.26954,37.23982,37.4
53,27.732,27.727526,27.727526,29.823343,29.823486,29.823486,30.09437,30.0944,30.0944,30.28987,20.000013,20.000011,20.000011,22.996492,22.996864,22.996864,24.377571,24.377666,24.377666,25.394527,37.44211,37.2
54,17.612833,17.601292,17.601292,23.25907,23.259493,23.259493,24.274721,24.274654,24.274654,25.264685,4.37e-05,3.93e-05,3.93e-05,7.240132,7.240499,7.240499,10.539507,10.539351,10.539351,13.039211,37.387123,37.0
55,21.016424,21.005322,21.005322,25.30299,25.303207,25.303207,26.443148,26.443151,26.443151,27.558193,5.0000315,5.000028,5.000028,11.169583,11.170046,11.170046,14.263974,14.26464,14.26464,16.631813,37.41813,38.0
56,22.802303,22.795507,22.795507,26.88456,26.884783,26.884783,27.59464,27.594704,27.594704,28.286343,10.000024,10.000022,10.000022,15.141197,15.14177,15.14177,17.566557,17.567074,17.567074,19.422192,37.39057,37.2
57,24.972776,24.966324,24.966324,27.70611,27.706314,27.706314,28.072409,28.072376,28.072376,28.325554,15.000017,15.000015,15.000015,18.93817,18.938448,18.938448,20.74859,20.748589,20.748589,22.081257,37.37269,37.0
58,22.528685,22.51895,22.51895,26.161785,26.161917,26.161917,26.623932,26.623882,26.623882,26.936981,10.000022,10.00002,10.00002,15.20351,15.20388,15.20388,17.571955,17.572033,17.572033,19.278044,37.33207,37.0
59,28.340357,28.334368,28.334368,30.709532,30.709572,30.709572,31.007828,31.007845,31.007845,31.213793,20.000015,20.000013,20.000013,23.409374,23.40945,23.40945,24.9552,24.95526,24.95526,26.085108,37.538876,38.0
60,38.991642,38.992165,38.992165,38.70985,38.709866,38.709866,38.679512,38.67958,38.67958,38.639053,40.0,40.0,40.0,39.603107,39.603077,39.603077,39.417618,39.41761,39.41761,39.270718,37.92844,38.0
61,19.09711,19.081251,19.081251,24.31683,24.316824,24.316824,25.81423,25.814411,25.814411,27.259375,4.3e-05,3.87e-05,3.87e-05,7.7697406,7.770171,7.770171,11.591018,11.592668,11.592668,14.736872,37.52593,38.0
62,28.55484,28.550512,28.550512,30.887022,30.887386,30.887386,31.399782,31.399788,31.399788,31.928917,20.000015,20.000013,20.000013,23.24637,23.246658,23.246658,24.819925,24.819962,24.819962,26.074938,37.565277,38.0
63,28.492182,28.48524,28.48524,30.806124,30.806124,30.806124,31.086973,31.086988,31.086988,31.281118,20.000015,20.000013,20.000013,23.530874,23.53096,23.53096,25.127316,25.127367,25.127367,26.290176,37.547874,37.8
64,36.217777,36.216908,36.216908,36.56779,36.567837,36.567837,36.61868,36.61861,36.61861,36.68615,35.000004,35.000004,35.000004,35.497913,35.497986,35.497986,35.7345,35.7345,35.7345,35.924038,37.80033,37.4
65,38.709568,38.710323,38.710323,38.358025,38.35804,38.35804,38.341496,38.341583,38.341583,38.326824,39.999996,39.999996,39.999996,39.489132,39.489082,39.489082,39.256752,39.256756,39.256756,39.083748,37.891567,37.4
66,22.777145,22.767036,22.767036,26.764965,26.765142,26.765142,27.254457,27.254402,27.254402,27.589125,10.000024,10.000021,10.000021,15.479956,15.480366,15.480366,17.929314,17.929398,17.929398,19.679293,37.389664,37.6
